term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4,meaninglanguage5,meaning5
impulsado,…de las pantallas ha impulsado un proceso que venía…,Verb,yo,pretérito perfecto compuesto,impulsar,verb,yo,pretérito perfecto compuesto,impulsar,,,,,,,,,,,,,zh-cn,推动,,,,,,,,
impulsen,...hábitos para que nos impulsen en lugar de desvanecerse?,Verb,ellos/ellas/uds.,imperativo,impulsar,verb,imperativo,ellos/ellas/uds.,impulsar,,,,,,,,,,,,,zh-cn,促进,,,,,,,,
impulso,Probablemente no tengo suficiente impulso emprendedor,Verb,yo,presente,impulsar,Noun,,,,,,,,,,,,,,,,zh-cn,冲动,zh-cn,动力,,,,,,
impulsos,es como que tenga impulsos suicidas,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,冲动,zh-cn,推动,,,,,,
impuntual,"...gente no es muy impuntual, pero llegar exactamente a...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,不守时,,,,,,,,
impuntualidad,Impuntualidad: Es cuando NO estamos...,,,,,,,,,,,,,,,,,,,,,zh-cn,不守时,,,,,,,,
incansable,llevará a cabo una incansable búsqueda de Julián Carax,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,不知疲倦,zh-cn,不懈的,,,,,,
incapaces,"...de bodas, que eran incapaces de hacer nada sin...",Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,无能,,,,,,,,
incapacidad,La insolvencia es la incapacidad para pagar,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,无力,,,,,,,,
incapaz,...de otras que era incapaz de catalogar.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,无法,,,,,,,,
incidencias,"...de mi habitación las incidencias de la jornada, mis...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,事件,,,,,,,,
incidente,"en Malasia, hubo un incidente donde musulmanes atacaron a",Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,事件,,,,,,,,
incidentes,"...nombres, personajes, lugares e incidentes son el producto de...",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,事件,,,,,,,,
inclinaciones,"...condicionados que utilizan nuestras inclinaciones biológicas, estaremos controlados por...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,倾向,,,,,,,,
inclinado,marchaban por el terreno inclinado en dirección a un,Verb,yo,pretérito perfecto compuesto,inclinar,inclinarse,Adjective,,,,,,,,,,,,,,,zh-cn,倾斜的,,,,,,,,
inclinó,El librero se inclinó hacia mí con tono...,Verb,pretérito perfecto simple,él/ella/ud.,inclinar,inclinarse,verb,pretérito perfecto simple,él/ella/ud.,inclinar,inclinarse,,,,,,,,,,,zh-cn,倾身,en,"inclinarse⇒ v prnl	(tumbarse, ladearse)	lean⇒, bend⇒, bow⇒ vi",,,,,,
incluían,"sorpresas navideñas, y que incluían globos luminosos que no",Verb,indicativo pretérito imperfecto,ellos/ellas/uds.,incluir,,,,,,,,,,,,,,,,,zh-cn,包括,,,,,,,,
incluso,Incluso le puedes pedir a...,Adverb,adverb,,,,,,,,,,,,,,,,,,,zh-cn,even 甚至,zh-cn,adv-prep.包括在内；甚至；adj.包括在内的，包含在内的；,,,,,,
incluso le puedes pedir a un tutor,Incluso le puedes pedir a un tutor que corrija tus escritos.,,,,,,,,,,,,,,,,,,,,,en,you can even ask a tutor,,,,,,,,
incluye,…el plan de asentamiento incluye un montón de servicios.,Verb,él/ella/ud.,presente,incluir,verb,incluir,presente,él/ella/ud.,,,,,,,,,,,,,zh-cn,包括,,,,,,,,
incluyen,...,Verb,presente,ellos/ellas/uds.,incluir,verb,incluir,presente,ellos/ellas/uds.,,,,,,,,,,,,,zh-cn,包括；（把某物）装入；放入；（把某人）列入，打入：,,,,,,,,
incluyendo,"…el aprendizaje del español, incluyendo habilidades de comunicación, gramática,…",Verb,gerundio,incluir,Preposition,verb,preposition,gerundio,incluir,,,,,,,,,,,,,zh-cn,tr.把…放进；把…列入；包括,,,,,,,,
incómoda,"...puede ser un poco incómoda, hablar del tiempo siempre...",Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,不舒服,,,,,,,,
incomparable,...dotados de una agilidad incomparable.,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,无与伦比的,,,,,,,,
inconsciente,"es, en teoría, algo inconsciente",Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,无意识的,,,,,,,,
inconscientes,"Sin embargo, os dejarían inconscientes durante varias horas, y",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,失去意识,zh-cn,无意识的,,,,,,
incontables,Incontables personas han llevado un,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,无数,,,,,,,,
inconveniente,"A: Claro, claro ¡qué inconveniente!",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,不便，困难,,,,,,,,
inconvenientes,sobre las ventajas e inconvenientes de las diferencias lingüísticas,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,缺点,,,,,,,,
incorpora,El curso incorpora las técnicas que has...,Verb,él/ella/ud.,presente,incorporar,incorporarse,verb,presente,él/ella/ud.,incorporar,incorporarse,,,,,,,,,,,zh-cn,合并,,,,,,,,
incorporando,...el tiempo lo irás incorporando a tu español.,Verb,gerundio,incorporar,verb,gerundio,incorporar,,,,,,,,,,,,,,,zh-cn,纳入,,,,,,,,
incorrecto,...te va a sonar incorrecto.,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,不正确的,,,,,,,,
increíbles,Ayer vi unas ofertas increíbles en la tienda de…,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,惊人的,,,,,,,,
incrementa,...significado; es buena porque incrementa la fuerza y la...,Verb,él/ella/ud.,presente,incrementar,incrementarse,verb,presente,él/ella/ud.,incrementar,incrementarse,,,,,,,,,,,zh-cn,它增加,,,,,,,,
incrementado,"en Internet, se ha incrementado en las dos últimas",Verb,yo,pretérito perfecto compuesto,incrementar,incrementarse,,,,,,,,,,,,,,,,zh-cn,增加了,,,,,,,,
incrementar,con similares intereses e incrementar la posibilidad de conocer,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,提高,,,,,,,,
incremento,…datos similares ilustran el incremento de nuestra paranoia nacional:…,Verb,yo,presente,incrementar,incrementarse,Noun,verb,noun,presente,yo,incrementar,incrementarse,,,,,,,,,zh-cn,增加,,,,,,,,
independencia,de casa es la independencia que adquieres,Noun,,,,,,,,,,,,,,,,,,,,en,independence,,,,,,,,
independientemente,"…solo divertido) de niños, independientemente de la cantidad de…",Adverb,Noun,noun,adverb,,,,,,,,,,,,,,,,,zh-cn,独立地,zh-cn,不管；除…之外,zh-cn,不管,,,,
independientes,"cuando mis hijos sean independientes”, etc",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,独立的,,,,,,,,
independizarse,,Verb,participio pasado,Noun,,,,,,,,,,,,,,,,,,zh-cn,变得独立,,,,,,,,
indeseables,de personas o cosas indeseables,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,不受欢迎的,,,,,,,,
india,"…los) Estados Unidos,( la) India,( el) Líbano,( el) Pakistán,(…",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,印度,,,,,,,,
indica,decepcionada con la cabeza indica que ella también lo,Verb,él/ella/ud.,presente,indicar,Adjective,,,,,,,,,,,,,,,,zh-cn,表示,,,,,,,,
indicador,"sabes, es un buen indicador del aprendizaje del idioma",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,指示符,,,,,,,,
indicadores,tal vez sean los indicadores más precisos de quiénes,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,指标,,,,,,,,
indicar,"…en"" o"" a"" para indicar destino geográfico.",Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,表示,,,,,,,,
indicativo,,Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,指示性的；陈述式,,,,,,,,
índice,...en silencio con el índice y el anular.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,目录,zh-cn,食指,,,,,,
índices de radiación ultravioleta,que estos días los índices de radiación ultravioleta se mantienen muy altos,,,,,,,,,,,,,,,,,,,,,zh-cn,紫外线辐射指数,,,,,,,,
indicio,...advirtieron en ellos ningún indicio de arrepentimiento.,Verb,yo,presente,indiciar,Noun,verb,noun,presente,yo,indiciar,,,,,,,,,,,zh-cn,迹象,,,,,,,,
indicó,sobre la escoba —les indicó la señora Hooch— y,Verb,pretérito perfecto simple,él/ella/ud.,indicar,,,,,,,,,,,,,,,,,zh-cn,指了,,,,,,,,
indios,......,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,印度人,zh-cn,印第安人,,,,,,
indispensable,Es indispensable que ellos tomen control...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,不可缺少,,,,,,,,
individuo,...vida de un misterioso individuo que asaltaba jugueterías y...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,个体,,,,,,,,
individuos,"...de diez años, aquellos individuos aparecían como una cofradía...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,个体,,,,,,,,
indudablemente,"Vladimir sugiere ""indudablemente"", una palabra larga y",Adverb,Noun,,,,,,,,,,,,,,,,,,,zh-cn,毫无疑问,,,,,,,,
industrial,"...de su progenitor, un industrial que se había enriquecido...",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,工业家,,,,,,,,
inesperada,"York, recibí la llamada inesperada de un amigo desde",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,意想不到的,,,,,,,,
inesperadas,cuando se presentan situaciones inesperadas o darnos por vencidos,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,意外的,,,,,,,,
inesperados,"al fracaso, conflictos, desafíos inesperados, deshacernos de patrones de",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,意外的,,,,,,,,
inevitablemente,...porcelana y se hundía inevitablemente en un final de...,Adverb,adverb,,,,,,,,,,,,,,,,,,,zh-cn,不可避免地,,,,,,,,
inevitables,...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,不可避免的,,,,,,,,
infancia,su héroe de la infancia,Noun,,,,,,,,,,,,,,,,,,,,en,"n.  childhood; babyhood, infancy; juvenile",,,,,,,,
infantil,...,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,童年,zh-cn,幼稚,,,,,,
inferior,"…está en la parte inferior del tubo, puesto que…",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,内部,,,,,,,,
infinita,Dima con paciencia infinita traduce todos los platos...,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,无限的,,,,,,,,
inflamación,de agua estancada por inflamación de,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,燃烧,,,,,,,,
inflexible,"de dominante, perfeccionista e inflexible",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,死板的,,,,,,,,
influencia,"representación, pero tiene mucha influencia",Verb,él/ella/ud.,presente,influenciar,Noun,,,,,,,,,,,,,,,,zh-cn,影响，势力，权势,,,,,,,,
influenciar,"tóxicas, porque nos pueden influenciar negativamente",Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,去影响,,,,,,,,
influido,a los que han influido en su desarrollo,Verb,yo,pretérito perfecto compuesto,influir,,,,,,,,,,,,,,,,,zh-cn,影响,,,,,,,,
influye,cuando el verbo principal influye sobre el verbo subordinado,Verb,él/ella/ud.,presente,influir,,,,,,,,,,,,,,,,,zh-cn,影响,,,,,,,,
influyentes,figuras más importantes e influyentes de la literatura universal,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,有影响力的,,,,,,,,
informa,También informa del tiempo y de,Verb,él/ella/ud.,presente,informar,informarse,,,,,,,,,,,,,,,,zh-cn,告知,,,,,,,,
informado,......,Verb,yo,pretérito perfecto compuesto,informar,informarse,Adjective,verb,adjective,yo,informarse,pretérito perfecto compuesto,informar,,,,,,,,,zh-cn,报告,,,,,,,,
informarse,"una dieta, tiene que informarse y consultar a un",Verb,participio pasado,Noun,verb,noun,participio pasado,,,,,,,,,,,,,,,zh-cn,调查，了解,,,,,,,,
informática,lo obvio: la programación informática es difícil,Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,计算,,,,,,,,
informático,"reprografía y el tratamiento informático, la fotocopia o la",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,电脑,,,,,,,,
informes,...elaborando una serie de informes previos.,Verb,tú,subjuntivo presente,informar,informarse,Noun,verb,noun,tú,subjuntivo presente,informarse,informar,,,,,,,,,zh-cn,m.消息，情报，指令，报告,,,,,,,,
informó,...,Verb,pretérito perfecto simple,él/ella/ud.,informar,informarse,verb,pretérito perfecto simple,informarse,él/ella/ud.,informar,,,,,,,,,,,zh-cn,告诉，通知，报告，汇报；发表意见，提出意见,,,,,,,,
ingeniería,…Qué tipo de ingeniería había estudiado Alfonso?,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,工程,,,,,,,,
inglaterra,......,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,英国,,,,,,,,
ingresos,"...mente en noviembre de 1993, ofreciendo a la gente de a ...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,收入,,,,,,,,
iniciada,......,,,,,,,,,,,,,,,,,,,,,zh-cn,开始的,,,,,,,,
iniciado,actividades que al no iniciado le parecerán mucho más,Verb,yo,pretérito perfecto compuesto,iniciar,iniciarse,,,,,,,,,,,,,,,,zh-cn,入门者,,,,,,,,
inicial,No tenéis la inicial en los vuestros —observó,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,初始,zh-cn,首字母,,,,,,
inicialmente,"en el programa, cuando inicialmente el objetivo eran 300",Adverb,,,,,,,,,,,,,,,,,,,,zh-tw,最初,zh-cn,initially,,,,,,
iniciar,la técnica necesarios para iniciar mi carrera profesional,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,启动,,,,,,,,
iniciarse,estaba a punto de iniciarse,Verb,participio pasado,,,,,,,,,,,,,,,,,,,zh-cn,开始吧,,,,,,,,
inicié,Hace unos días inicié un intercambio de idiomas,Verb,yo,pretérito perfecto simple,iniciar,iniciarse,,,,,,,,,,,,,,,,zh-cn,我已开始,,,,,,,,
inicio,de enero marca el inicio del período de rebajas,Verb,yo,presente,iniciar,iniciarse,Noun,,,,,,,,,,,,,,,zh-cn,引发,zh-cn,tr.开始，开创；启蒙；接收（某人）参加（秘密团体、活动等）,,,,,,
inicios,...la humanidad desde sus inicios.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,开始,,,,,,,,
injusticias,...es un mundo sin injusticias.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,不公正,,,,,,,,
injusto,"Creo que es bastante injusto, pero existe esta fama",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,不公正,,,,,,,,
inmediata,...e intentan conseguir satisfacción inmediata.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,即时,,,,,,,,
inmediatamente,"de hecho, que él inmediatamente se dio cuenta de",Adverb,,,,,,,,,,,,,,,,,,,,zh-cn,立刻,,,,,,,,
inmediato,...a Santiago Nasar de inmediato y sin espectáculo público...,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,立即,,,,,,,,
inmensa,"—A Hagrid, le confiaría mi vida—di...",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,无法计量的；巨大的，极大的,,,,,,,,
inmenso,y a pesar del inmenso conocimiento científico que podemos,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,巨大的,,,,,,,,
inmersión,un día probar la inmersión,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,浸没,,,,,,,,
inmerso,flujo surgiría cuando está inmerso en la actividad de,,,,,,,,,,,,,,,,,,,,,zh-cn,沉浸的，浸入的,,,,,,,,
inmersos,su cuerpo estén plenamente inmersos en ello,,,,,,,,,,,,,,,,,,,,,zh-cn,沉浸,,,,,,,,
inmigración,La inmigración en España,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,移民,,,,,,,,
inmigrantes,"y ayuda a los inmigrantes recién llegados, a los",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,移民,,,,,,,,
inmortal,...Esopo o el verso inmortal de Dante Alighieri.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-cn,不朽的,,,,,,,,
inmóvil,"Permanecí inmóvil, casi sin atreverme a...",Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,不动,,,,,,,,
inmóviles,...las garzas que planeaban inmóviles en el sopor ardiente...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,一动不动,,,,,,,,
inmune,...se fortalece el sistema inmune y nos sentimos mucho...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,免疫的,,,,,,,,
inmutable,confiaban en su superioridad inmutable sobre los mongoles antes,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,一成不变的,,,,,,,,
innecesaria,,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
innovador,términos concretos cómo ser innovador,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,改革的，革新的，改革者，革新者,,,,,,,,
innumerables,"nacemos…, estas y otras innumerables condiciones determinan lo que",Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,无数,zh-cn,无数的，数不清的,en,"incontable, incalculable",,,,
inocente,"Tras inventar este juego inocente, el profesor Maier-Leibnitz…",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,zh-tw,天真的,,,,,,,,
inquietantemente,Sus gafas brillaban inquietantemente.,,,,,,,,,,,,,,,,,,,,,zh-cn,令人不安地,,,,,,,,
inquietas,entre las pestañas volteaban inquietas unas pupilas que yo,Verb,presente,tú,inquietar,inquietarse,,,,,,,,,,,,,,,,zh-cn,不安,,,,,,,,
inquietud,"señora Weasley, mirando con inquietud el reloj que había",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,不安,,,,,,,,
insatisfacción,Esta insatisfacción crónica es el segundo,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,不满意,,,,,,,,
insatisfecha,humanidad es permanecer siempre insatisfecha,,,,,,,,,,,,,,,,,,,,,zh-cn,不满意,,,,,,,,
insegura,......,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,不安,,,,,,,,
inseguridad,"labio, porque esto denota inseguridad y dudas",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,不安全,,,,,,,,
inseguro,"y Goyle, mientras andaba inseguro tras la profesora McGonagall",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,不安全的,,,,,,,,
insensible,y torpe; un ojo insensible no está interesado en,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,不敏感的,,,,,,,,
insignificante,"es, de por sí, insignificante: ¿qué diferencia hay si",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,微不足道,,,,,,,,
insiste,...El fin de semana −insiste Loli.,Verb,él/ella/ud.,presente,insistir,Noun,verb,noun,presente,él/ella/ud.,insistir,,,,,,,,,,,zh-cn,坚持,,,,,,,,
insoportable,…abominables tíos y del insoportable primo Dudley.,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,无法忍受的,,,,,,,,
inspector,...a llamar a un inspector y que vais a...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,检查员,,,,,,,,
inspiración,"...memoria, sin malicia ni inspiración, hasta que el buque...",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,灵感,,,,,,,,
inspirado,Esa niña le había inspirado algo.,Verb,yo,pretérito perfecto compuesto,inspirar,inspirarse,Adjective,verb,adjective,yo,pretérito perfecto compuesto,inspirar,inspirarse,,,,,,,,,zh-cn,启发,,,,,,,,
instala,,Verb,él/ella/ud.,presente,instalar,instalarse,,,,,,,,,,,,,,,,zh-cn,安装,zh-cn,就会出现,,,,,,
instalaba,Dursley parloteaba alegremente mientras instalaba al ruidoso Dudley en,Verb,yo,indicativo pretérito imperfecto,instalar,instalarse,,,,,,,,,,,,,,,,zh-cn,已安装,,,,,,,,
instalación,temperatura dentro de la instalación,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,安装,zh-cn,设施,,,,,,
instalaciones,...año este tipo de instalaciones son más y más...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,安装,zh-cn,设施,,,,,,
instalando,o entropía nos va instalando en la angustia ontológica,Verb,gerundio,instalar,,,,,,,,,,,,,,,,,,zh-cn,使我们陷入,,,,,,,,
instalar,......,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,安装,,,,,,,,
instaló,hogar cuando ella se instaló en Basgiath como instructora,Verb,pretérito perfecto simple,él/ella/ud.,instalar,instalarse,,,,,,,,,,,,,,,,zh-cn,已安装,,,,,,,,
instantánea,...no entiendas de forma instantánea.,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,（o）1.瞬息的，短暂的.  2.即刻的，立刻的.,,,,,,,,
instantáneo,...típico café soluble o instantáneo que se mezcla con...,Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,立即的,,,,,,,,
instante,…planes desaparecieron en un instante.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,瞬间，片刻,,,,,,,,
instantes,...podía sentirse por unos instantes figura histórica por el...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,瞬间,,,,,,,,
instintos,confía en extender nuestros instintos paleolíticos más allá de,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,本能,,,,,,,,
instituciones,la sede de las instituciones regionales está en Valladolid,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,机构,,,,,,,,
instrucción,La orden es la instrucción de una persona a...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,指令,,,,,,,,
instrucciones,Las instrucciones que contienen nuestros genes,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,指示,,,,,,,,
instructor,...en español y el instructor enseña a través de...,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,教育的，训练的，指导的；教员，教练员，指导员,,,,,,,,
instrumento,...toca música con su instrumento musical.,Verb,yo,presente,instrumentar,Noun,verb,noun,presente,yo,instrumentar,,,,,,,,,,,zh-cn,m.器械；乐器；手段；证书,zh-cn,乐器,,,,,,
instrumento musical,...toca música con su instrumento musical.,,,,,,,,,,,,,,,,,,,,,zh-cn,乐器,,,,,,,,
instrumentos,"del techo colgaban unos instrumentos herrumbrosos, llenos de pinchos",Noun,,,,,,,,,,,,,,,,,,,,zh-cn,工具,zh-cn,乐器,,,,,,
insultado,"...–: tú sí que eres un hombre honrado, un buen hombre que n...",Verb,yo,pretérito perfecto compuesto,insultar,insultarse,verb,yo,pretérito perfecto compuesto,insultarse,insultar,,,,,,,,,,,zh-cn,被侮辱,,,,,,,,
integrado,se han conservado e integrado en el nuevo diseño,Verb,yo,pretérito perfecto compuesto,integrar,integrarse,Adjective,,,,,,,,,,,,,,,zh-cn,整合,,,,,,,,
integrar,...danzaterapia se van a integrar diversas disciplinas como la...,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,整合,zh-cn,融合,,,,,,
integrarnos,"demás, pudiendo trabajar, pudiendo integrarnos",,,,,,,,,,,,,,,,,,,,,zh-cn,融入,,,,,,,,
intelectual,se asocia con lo intelectual,Adjective,Noun,,,,,,,,,,,,,,,,,,,zh-cn,智力的,,,,,,,,
inteligencia,"iglesia, inteligencia",Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,f.智力；智慧；熟巧；理解；情报；协议,,,,,,,,
inteligencias,La teoría de las inteligencias múltiples,,,,,,,,,,,,,,,,,,,,,zh-cn,智力,,,,,,,,
inteligentemente,...ningún alarde —dijo Ron inteligentemente—.,Adverb,adverb,,,,,,,,,,,,,,,,,,,zh-cn,聪明地,,,,,,,,
intención,Muchas gracias por tu intención!,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,意向,,,,,,,,
intencionadamente,"la fenomenología pura, que intencionadamente excluye cualquier otra teoría",Adverb,,,,,,,,,,,,,,,,,,,,zh-cn,故意地,,,,,,,,
intencionalmente,la conciencia es información intencionalmente ordenada,Adverb,,,,,,,,,,,,,,,,,,,,zh-cn,有意地,,,,,,,,
intenciones,...gente tiene muy buenas intenciones a principios del año.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,意图,,,,,,,,
intensa,"...ser algo de forma intensa, por ejemplo veterinario, esto...",Verb,él/ella/ud.,presente,intensar,intensarse,Adjective,verb,adjective,presente,él/ella/ud.,intensarse,intensar,,,,,,,,,zh-cn,强烈的；剧烈的,,,,,,,,
intensamente,"fútbol se vive muy intensamente, casi como una religión",Adverb,,,,,,,,,,,,,,,,,,,,zh-cn,非常热烈地,,,,,,,,
intensidad,...España se vive con intensidad.,Noun,noun,,,,,,,,,,,,,,,,,,,zh-cn,强度,zh-cn,强烈,,,,,,
intensivo,"Si las cosas cambian radicalmente durante la próxima década, entonces el futuro estará casi al alcance de la mano.",Adjective,adjective,,,,,,,,,,,,,,,,,,,zh-cn,强化,,,,,,,,
intentaran,que les suplicaría que intentaran tenerlo antes de mi,Verb,ellos/ellas/uds.,subjuntivo pretérito imperfecto,intentar,,,,,,,,,,,,,,,,,zh-cn,会尝试,,,,,,,,
intentar contestar,Es tu turno para intentar contestar.,,,,,,,,,,,,,,,,,,,,,zh-cn,尝试回答,,,,,,,,
intentes,"...eres bueno, no lo intentes.",Verb,tú,subjuntivo presente,intentar,verb,tú,intentar,subjuntivo presente,,,,,,,,,,,,,zh-cn,尝试,,,,,,,,
intento,"en 1981, hubo un intento de golpe de estado",Verb,yo,presente,intentar,Noun,,,,,,,,,,,,,,,,zh-cn,尝试,zh-cn,tr.试图，努力；企图，打算，想要,,,,,,
intentó,Ella intentó e intentó e intentó...,Verb,pretérito perfecto simple,él/ella/ud.,intentar,Noun,verb,noun,intentar,pretérito perfecto simple,él/ella/ud.,,,,,,,,,,,zh-cn,试过了,,,,,,,,
intentos,fronteras de los violentos intentos de invasión del reino,Noun,,,,,,,,,,,,,,,,,,,,zh-cn,尝试,,,,,,,,
interactuar,en realidad no puedes interactuar de forma profunda,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,互动,zh-cn,相互作用,,,,,,
intercambiar,......,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,zh-cn,交流,,,,,,,,
intercambio,"Por último, comentaré el intercambio de idiomas por Skype.",Verb,yo,presente,intercambiar,Noun,verb,noun,presente,yo,intercambiar,,,,,,,,,,,zh-cn,交换,,,,,,,,
interés,Aprende el contenido de interés,Noun,,,,,,,,,,,,,,,,,,,,en,n. interest; liveliness; responsiveness; readability; notice; point,,,,,,,,
interesada,"...aprender; yo estoy particularmente interesada en Transformaciones, ya sabes...",Adjective,Adverb,adjective,adverb,,,,,,,,,,,,,,,,,zh-cn,有兴趣,,,,,,,,
interesadas,del mercado de maneras interesadas: tanto los monopolistas como,Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,感兴趣的,,,,,,,,
interesado,Ron estaba más interesado en comer las ranas,Verb,yo,pretérito perfecto compuesto,interesar,interesarse,Adjective,,,,,,,,,,,,,,,en,感兴趣,,,,,,,,
interesados,"fáciles, pero los lectores interesados hallarán en ellas suficiente",Adjective,,,,,,,,,,,,,,,,,,,,zh-cn,有兴趣,,,,,,,,
